image_path,label_id,label_name,split,included,source_dataset,source_image_id,crop_x1,crop_y1,crop_x2,crop_y2
/Users/hindolomagbity/Documents/Codex/2026-08-22/referenced-chatgpt-conversation-this-is-an/outputs/ReUP_AI_Demo_Package 2/data/HBD/10_Wong Chue Meng Building/Exterior/test/IMG_1707.JPG,8,window,test,true,HBD,10_Wong Chue Meng Building/Exterior/test/test_10_ex.json:IMG_1707.JPG3166549:1,866.48,29.28,1236.52,445.72
/Users/hindolomagbity/Documents/Codex/2026-08-22/referenced-chatgpt-conversation-this-is-an/outputs/ReUP_AI_Demo_Package 2/data/HBD/10_Wong Chue Meng Building/Exterior/test/IMG_1707.JPG,8,window,test,true,HBD,10_Wong Chue Meng Building/Exterior/test/test_10_ex.json:IMG_1707.JPG3166549:2,897.32,2369.76,1327.68,2750.24
/Users/hindolomagbity/Documents/Codex/2026-08-22/referenced-chatgpt-conversation-this-is-an/outputs/ReUP_AI_Demo_Package 2/data/HBD/10_Wong Chue Meng Building/Exterior/test/IMG_1707.JPG,8,window,test,true,HBD,10_Wong Chue Meng Building/Exterior/test/test_10_ex.json:IMG_1707.JPG3166549:4,1631.4,2432.88,2321.6,2768.12
/Users/hindolomagbity/Documents/Codex/2026-08-22/referenced-chatgpt-conversation-this-is-an/outputs/ReUP_AI_Demo_Package 2/data/HBD/10_Wong Chue Meng Building/Exterior/test/IMG_1707.JPG,8,window,test,true,HBD,10_Wong Chue Meng Building/Exterior/test/test_10_ex.json:IMG_1707.JPG3166549:8,2266.8,2499.96,2777.2,2776.04
/Users/hindolomagbity/Documents/Codex/2026-08-22/referenced-chatgpt-conversation-this-is-an/outputs/ReUP_AI_Demo_Package 2/data/HBD/10_Wong Chue Meng Building/Exterior/test/IMG_1707.JPG,8,window,test,true,HBD,10_Wong Chue Meng Building/Exterior/test/test_10_ex.json:IMG_1707.JPG3166549:16,886.84,1474.32,1295.16,1875.68
/Users/hindolomagbity/Documents/Codex/2026-08-22/referenced-chatgpt-conversation-this-is-an/outputs/ReUP_AI_Demo_Package 2/data/HBD/10_Wong Chue Meng Building/Exterior/test/IMG_1707.JPG,8,window,test,true,HBD,10_Wong Chue Meng Building/Exterior/test/test_10_ex.json:IMG_1707.JPG3166549:18,1578.48,1667.36,2238.52,2082.64
/Users/hindolomagbity/Documents/Codex/2026-08-22/referenced-chatgpt-conversation-this-is-an/outputs/ReUP_AI_Demo_Package 2/data/HBD/10_Wong Chue Meng Building/Exterior/test/IMG_1707.JPG,8,window,test,true,HBD,10_Wong Chue Meng Building/Exterior/test/test_10_ex.json:IMG_1707.JPG3166549:19,2187.76,1838.64,2684.24,2177.36
/Users/hindolomagbity/Documents/Codex/2026-08-22/referenced-chatgpt-conversation-this-is-an/outputs/ReUP_AI_Demo_Package 2/data/HBD/10_Wong Chue Meng Building/Exterior/test/IMG_1707.JPG,8,window,test,true,HBD,10_Wong Chue Meng Building/Exterior/test/test_10_ex.json:IMG_1707.JPG3166549:30,883.28,706.2,1270.72,1123.8
/Users/hindolomagbity/Documents/Codex/2026-08-22/referenced-chatgpt-conversation-this-is-an/outputs/ReUP_AI_Demo_Package 2/data/HBD/10_Wong Chue Meng Building/Exterior/test/IMG_1707.JPG,8,window,test,true,HBD,10_Wong Chue Meng Building/Exterior/test/test_10_ex.json:IMG_1707.JPG3166549:32,1535.72,999.44,2163.28,1471.56
/Users/hindolomagbity/Documents/Codex/2026-08-22/referenced-chatgpt-conversation-this-is-an/outputs/ReUP_AI_Demo_Package 2/data/HBD/10_Wong Chue Meng Building/Exterior/test/IMG_1707.JPG,8,window,test,true,HBD,10_Wong Chue Meng Building/Exterior/test/test_10_ex.json:IMG_1707.JPG3166549:33,2121.04,1255.36,2598.96,1641.64
